dataset_id,dataset,model_id,model,comparison_role,seed,qualification,next_action,epochs,best_val_nll_epoch,best_val_nll,source_revision,reproducibility_mode,split_mode,evaluation_scope,held_out_test_evaluated,candidate_count,reasons,artifact_root,run_dir,best_val_nll_checkpoint_path
intermittent,Intermittent,rmtpp_original,RMTPP-original,primary,42,rerun_required,run_under_frozen_contract,-1,-1,,,,,,False,0,no_matching_artifact,,,
intermittent,Intermittent,rmtpp_original,RMTPP-original,primary,52,rerun_required,run_under_frozen_contract,-1,-1,,,,,,False,0,no_matching_artifact,,,
intermittent,Intermittent,rmtpp_original,RMTPP-original,primary,62,rerun_required,run_under_frozen_contract,-1,-1,,,,,,False,0,no_matching_artifact,,,
intermittent,Intermittent,rmtpp_matched,RMTPP-matched,primary,42,final_comparison_ready,retain,300,16,5.664796280202562,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_42,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_42/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,rmtpp_matched,RMTPP-matched,primary,52,final_comparison_ready,retain,300,33,5.658921731263453,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_52,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_52/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,rmtpp_matched,RMTPP-matched,primary,62,final_comparison_ready,retain,300,78,5.681035337486585,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_62,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/rmtpp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/rmtpp_gru_h64/epochs_300/seed_62/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,thp_matched,THP-matched,primary,42,final_comparison_ready,retain,300,14,5.630984869171948,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_42,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_42/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,thp_matched,THP-matched,primary,52,final_comparison_ready,retain,300,25,5.61796124343761,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_52,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_52/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,thp_matched,THP-matched,primary,62,final_comparison_ready,retain,300,35,5.676026866941338,726aa64ab0b5478646d11be36fc19dcb224d417e,strict,fixed,validation_only,False,1,,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_62,/home/leekwanhyeong/workspace/paper_research/search_artifacts/final_fair_matched_rmtpp_thp_e300_20260805/intermittent/runs/intermittent/thp/lossmode_hybrid/repro_strict/split_fixed/evalscope_validation_only/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small/epochs_300/seed_62/checkpoints/best_val_nll_model.pt
intermittent,Intermittent,titantpp_v2,TitanTPP V2,primary,42,draft_only,rerun_under_frozen_contract,50,19,5.666520002977862,,,fixed,,True,1,initial_budget_met;strict;source_revision;validation_only;held_out_test_locked;best_val_nll_state_hash;dataset_hashes_missing,/home/leekwanhyeong/workspace/paper_research/search_artifacts/model_enhancement_v2_inter_short_e50_0710,/home/leekwanhyeong/workspace/paper_research/search_artifacts/model_enhancement_v2_inter_short_e50_0710/runs/intermittent/titantpp/lossmode_hybrid/split_fixed/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_50/seed_42,/home/leekwanhyeong/workspace/paper_research/search_artifacts/model_enhancement_v2_inter_short_e50_0710/runs/intermittent/titantpp/lossmode_hybrid/split_fixed/value_identity/valueinput_residual/valueemb_8/trainscope_target_only/profile_dataset_best/base_2p0/small_lmm/epochs_50/seed_42/checkpoints/best_val_nll_model.pt
